0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.388436] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.392546] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.396648] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.402814] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.406905] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.411013] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.417186] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.421296] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.429521] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5953784292 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.439783] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.445941] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.454133] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.460295] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.464779] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.468889] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.472983] 
0.0530935236842 0.0333347465776 -0.119077616427 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.481177] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.491447] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.499643] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.503752] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.509930] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.514036] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.518143] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.522249] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.528408] 
