0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.721712] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.727879] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.731993] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.736101] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.740212] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.744323] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.748431] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.752547] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.758691] 
0.0576007389108 0.0405518786836 -0.127605144217 -10.8353276882 -16.6423426721 -165.22838255 0.0576007389108 0.0405518786836 -0.127605144217 -9.14672566462 -16.3434247249 -163.480377582 [( 0.058,  0.041, -0.128),(yaw:-10.8, pitch:-16.6, roll:-165.2),stamp=2014-07-09T13:58:53.764852] 
